#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=130; flareDiameter=130; flareLength=70; gratingDistance=60.81; gratingGap=5.2; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=15.62; probe1Length=12.32; probe2Diameter=1.3; probe2Distance=11.81; probe2Length=12.71; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=9; wireDiameter=2}
#"Theta / deg"	"Gain (port 1) []"
#--------------------------------
90.000000000000	-13.546229195470
95.000000000000	-15.098443363346
100.00000000000	-13.320333058845
105.00000000000	-15.417714318673
110.00000000000	-14.638481458644
115.00000000000	-16.727683134502
120.00000000000	-17.943523441012
125.00000000000	-15.810019105790
130.00000000000	-16.214232058727
135.00000000000	-12.670656664264
140.00000000000	-14.826612002731
145.00000000000	-14.108485741441
150.00000000000	-17.774117480304
155.00000000000	-18.090482168363
160.00000000000	-10.256199460975
165.00000000000	-10.503398330999
170.00000000000	-13.175530433701
175.00000000000	-10.856605045899
180.00000000000	-8.2117120139827
